type,formalTyping,code,type1,type2
PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN SELAKU KETUA DEWAN PENGARAH BADAN PENGEMBANGAN WILAYAH SURABAYA - MADURA,Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN MUKOMUKO,Peraturan Daerah Kabupaten Muko Muko,Perkab_Muko_Muko,RegencyRegulation,Lembaran_Daerah_Kabupaten_Muko_Muko
PERATURAN KEPALA BADAN PENGATUR HILIR MINYAK DAN GAS BUMI,Peraturan Badan Pengatur Hilir Minyak Dan Gas Bumi Republik Indonesia,Peraturan_BPH_Migas,AgencyRegulation,Berita_Negara
PERATURAN BADAN PENGELOLA KEUANGAN HAJI,Peraturan Badan Pengelola Keuangan Haji Republik Indonesia,Peraturan_BPKH,AgencyRegulation,Berita_Negara
PERATURAN MENTERI LINGKUNGAN DAN KEHUTANAN REPUBLIK INDONESIA,Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia,Permen_LHK,MinisterialRegulation,Berita_Negara
PERATURAN WALIKOTA SEMARANG,Peraturan Walikota  Semarang,Perwali_Semarang,MayorRegulation,Berita_Daerah_Kota_Semarang
PERATURAN DAERAH KABUPATEN PEMALANG,Peraturan Daerah Kabupaten Pemalang,Perkab_Pemalang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pemalang
PERATURAN MENTERI KOORDINATOR BIDANG KESEJAHTERAAN RAKYAT REPUBLIK INDONESIA SELAKU KETUA GUGUS TUGAS PENCEGAHAN DAN PENANGANAN PORNOGRAFI,Peraturan Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia,Permenko_Kesra,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BANGKA BARAT,Peraturan Daerah Kabupaten Bangka Barat,Perkab_Bangka_Barat,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bangka_Barat
PERATURAN DAERAH KABUPATEN BANTUL TINGKAT II BANTUL,Peraturan Daerah Kabupaten Bantul,Perkab_Bantul,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bantul
PERATURAN DAERAH KABUPATEN OGANKOMERING ULU,Peraturan Daerah Kabupaten Ogan Komering Ulu,Perkab_Ogan_Komering_Ulu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu
PERATURAN MENTERI BADAN USAHA MILIK NEGARA,Peraturan Menteri Badan Usaha Milik Negara Republik Indonesia,Permen_BUMN,MinisterialRegulation,Berita_Negara
PERATURAN BADAN STANDARDISASI NASIONAL REPUBLIK INDONESIA,Peraturan Badan Standardisasi Nasional Republik Indonesia,Peraturan_BSN,AgencyRegulation,Berita_Negara
"PERATURAN KEPALA BADAN METEOROLOGI, KLIMATOLOGI, DAN GEOFISIKA","Peraturan Badan Meteorologi, Klimatologi, Dan Geofisika Republik Indonesia",Peraturan_BMKG,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN DAERAH KABUPATEN WONOGIRI,Peraturan Daerah Kabupaten Wonogiri,Perkab_Wonogiri,RegencyRegulation,Lembaran_Daerah_Kabupaten_Wonogiri
PERATURAN DAERAH PROPINSI SULAWESI UTARA,Peraturan Daerah Provinsi Sulawesi Utara,Perprov_Sulut,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sulawesi_Utara
