object,uri
Sri Mulyani Indrawati,wd:Q3177708
Stempel,wd:Q21452700
Stnk,wd:Q662082
Sudirman,wd:Q2367329
Sudirman,wd:Q7633861
Sudirman Said,wd:Q18421410
Sukadana,wd:Q7635708
Sukamara,wd:Q14386
Sukarno,wd:Q76127
Sumbawa Besar,wd:Q6271142
Sumber,wd:Q796186
Sumedang,wd:Q10382
Sumedang,wd:Q15073336
Sungai Penuh,wd:Q7592
Sungailiat,wd:Q5261380
Surabaya,wd:Q11462
Surabaya,wd:Q15069727
Surakarta,wd:Q9080679
Surakarta,wd:Q601529
Surakarta,wd:Q4803
Susi Pudjiastuti,wd:Q17411488
Sutrisno,wd:Q25466275
Syahrul Yasin Limpo,wd:Q10860301
Tabanan,wd:Q11505
Tangerang,wd:Q10123
Tangerang,wd:Q10127
Tangerang,wd:Q398239
Tangerang,wd:Q3659306
Tanjung,wd:Q2991829
Tanjung,wd:Q1751295
Tanjung,wd:Q3818618
Tanjung,wd:Q2088434
Tanjung,wd:Q12519398
Tanjung Selor,wd:Q485762
Tanjung Selor,wd:Q976062
Tanjungpinang,wd:Q10104
Tarakan,wd:Q14501
Tarakan,wd:Q341121
Tarakan,wd:Q2165376
Tasikmalaya,wd:Q10399
Tasikmalaya,wd:Q10385
Tebing Tinggi,wd:Q5989
Tegal,wd:Q11027
Tegal,wd:Q416489
Tegal,wd:Q10705
Temanggung,wd:Q10979
Tembilahan,wd:Q6542770
Terawan Agus Putranto,wd:Q72040942
Ternate,wd:Q19151
Ternate,wd:Q40452
Ternate,wd:Q63124
Ternate,wd:Q3518492
Ternate,wd:Q333483
Ternate,wd:Q255916
Thomas Trikasih Lembong,wd:Q25462546
Tifatul Sembiring,wd:Q4250974
Tipe,wd:Q3707858
Tjahjo Kumolo,wd:Q12521725
Tolitoli,wd:Q15824
Trenggalek,wd:Q11139
Trenggalek,wd:Q2336568
Tri Rismaharini,wd:Q12522317
Tulungagung,wd:Q11143
Ungaran,wd:Q3183016
Wakil Presiden Republik Indonesia,wd:Q3543445
Walikota Denpasar,wd:Q16731948
Walikota Padang,wd:Q6627646
Wangi Wangi,wd:Q44477038
Wates,wd:Q7974593
Wates,wd:Q2576283
Widodo,wd:Q56541331
Wiranto,wd:Q731740
Wonosari,wd:Q4199800
Yasonna Laoly,wd:Q12525045
Yogyakarta,wd:Q3741
Yogyakarta,wd:Q7568
Yogyakarta,wd:Q1174783
Yohana Yembise,wd:Q18421480
Yurnalis Ngayoh,wd:Q17410852
Zainuddin,wd:Q8064864
